Id;aÁoes;ativo;fechamento_ajustado
179;Cemar-Cia_Energetica_Do_..._PNB;EQMA6B;0.00
180;CEMAR_PNA;ENMA5B;0.00
181;CEMAR_ON;ENMA3B;0.00
182;Cemar-Cia_Energetica_Do_..._PNA;EQMA5B;0.00
183;Cemar-Cia_Energetica_Do_..._ON;EQMA3B;0.00
184;CEMAR_PNB;ENMA6B;0.00
185;CEMPE_ON;MAPT3;0.00
186;CEMPE_PN;MAPT4;0.00
187;Ceno_Norte_Pna_PNA;CCNO5L;0.00
188;Centenor_Empreendimentos_PNE;CTNR11L;0.00
189;ELETROBRAS_PNB;ELET11;0.00
190;ELETROBRAS_ON;ELET1;0.00
191;ELETROBRAS_ON;ELET3;0.00
192;ELETROBRAS_PNA;ELET5;0.00
193;ELETROBRAS_PNB;ELET6;0.00
194;CELESC_PN;CLSC4;0.00
195;CELESC_ON;CLSC3;0.00
196;ALLIAR_ON;AALR3;0.00
197;CEPAC_MCRJ_CPA_MB;MCRJ11B;0.00
198;CEPAC-CTBA_CPA_MB;CTBA11BL;0.00
199;CEPAC-CTBA_CPA_MB;CTBA11B;0.00
200;CESP_ON;CESP3;0.00
201;CESP_PNB;CESP6;0.00
202;CESP_PNA;CESP5;0.00
203;PÃO_DE_AÇUCAR_ON;PCAR3;0.00
204;P.ACUCAR-CBD_PN;PCAR4;0.00
205;CASAN_ON;CASN1;0.00
206;CASAN_PN;CASN2;0.00
207;CASAN_ON;CASN3;0.00
208;CASAN_PN;CASN4;0.00
209;CEG_ON;CEGR3;0.00
210;COELBA_PNB;CEEB6;0.00
211;COELBA_PNA;CEEB5;0.00
212;COELBA_ON;CEEB3;0.00
213;CEB_ON;CEBR3;0.00
214;CEB_PNA;CEBR5;0.00
215;CEB_PNB;CEBR6;0.00
216;COELCE_ON;COCE3;0.00
217;COELCE_PNA;COCE5;0.00
218;COELCE_PNB;COCE6;0.00
219;CEMIG_ON;CMIG3;0.00
220;CEMIG_PN;CMIG4;0.00
221;CELPE_ON;CEPE3;0.00
222;CELPE_PNB;CEPE6;0.00
223;CELPE_PNA;CEPE5;0.00
224;COSERN_ON;CSRN3;0.00
225;COSERN_PNA;CSRN5;0.00
226;COSERN_PNB;CSRN6;0.00
227;CEEE-D_PN;CEED4;0.00
228;CEEE-D_ON;CEED3;0.00
229;CEEE-D_ON;CEED1;0.00
230;FERBASA_ON;FESA3;0.00
231;FERBASA_PN;FESA4;0.00
232;CEDRO_ON;CEDO3;0.00
233;CEDRO_PN;CEDO4;0.00
234;Cia_Frigorifico_Potengy_PNB;PTGY6L;0.00
235;COMGÁS_PNA;CGAS5;0.00
236;COMGÁS_ON;CGAS3;0.00
237;HABITASUL_PNB;HBTS6;0.00
238;HABITASUL_ON;HBTS3;0.00
239;HABITASUL_PNA;HBTS5;0.00
240;CIA_HERING_ON;HGTX3;0.00
241;IND_CATAGUAS_ON;CATA3;0.00
242;IND_CATAGUAS_PN;CATA4;0.00
243;LOCAMERICA_ON;LCAM3;0.00
244;MELHOR_SP_PN;MSPA4;0.00
245;MELHOR_SP_ON;MSPA3;0.00
246;COPEL_PNA;CPLE5;0.00
247;COPEL_PNB;CPLE6;0.00
248;COPEL_ON;CPLE3;0.00
249;PAR_AL_BAHIA_PN;PEAB4;0.00
250;PAR_AL_BAHIA_ON;PEAB3;0.00
251;SANEPAR_ON;SAPR3;0.00
252;SANEPAR_PN;SAPR4;0.00
253;COPASA_ON;CSMG3;0.00
254;SEG_AL_BAHIA_ON;CSAB3;0.00
255;SEG_AL_BAHIA_PN;CSAB4;0.00
256;SID_NACIONAL_ON;CSNA3;0.00
257;COTEMINAS_ON;CTNM3;0.00
258;COTEMINAS_PN;CTNM4;0.00
259;SANTANENSE_PND;CTSA8;0.00
260;SANTANENSE_ON;CTSA3;0.00
261;SANTANENSE_PN;CTSA4;0.00
262;ISA_CTEEP_PN;TRPL4;0.00
263;ISA_CTEEP_ON;TRPL3;0.00
264;Ciagra_Cia_Agropastorial..._PNB;CIAG6L;0.00
265;Cibrasec_Cia_Bras_Securi...;CBSC-CRA190B;0.00
266;Cibrasec_Cia_Bras_Securi...;CBSC-CRA12B0;0.00
267;CIBRASEC;CBSC-CRA1A0B;0.00
268;Cibrasec_Cia_Bras_Securi...;CBSC-CRA19B0;0.00
269;Cibrasec_Cia_Bras_Securi...;CBSC-CRA1B0B;0.00
270;CIBRASEC;CBSC-CRA1AB0;0.00
271;CIBRASEC;CBSC-CRA21B0;0.00
272;Cibrasec_Cia_Bras_Securi...;CBSC-CRI3TB0;0.00
273;Cibrasec_Cia_Bras_Securi...;CBSC-CRA1BB0;0.00
274;CIBRASEC;CBSC-CRA210B;0.00
275;CIELO_ON;CIEL3;0.00
276;Cims_PN;CMSA4;0.00
277;Cims_ON;CMSA3;0.00
278;Cinesystem_ON;CNSY3;0.00
279;COGNA_ON;COGN3;0.00
280;Common_Stock_ON;TF900;0.00
281;Common_Stock_ON;TF703;0.00
282;Common_Stock_ON;TF704;0.00
283;Common_Stock_ON;TF901;0.00
284;Common_Stock_ON;TF713;0.00
285;Common_Stock_ON;TF693;0.00
286;Common_Stock_ON;TF714;0.00
287;Common_Stock_ON;TF723;0.00
288;Common_Stock_ON;TF694;0.00
289;Common_Stock_ON;TF724;0.00
290;CELGPAR_ON;GPAR3;0.00
291;CELGPAR_ON;GPAR1;0.00
292;SABESP_ON;SBSP3;0.00
293;CEEE-GT_PN;EEEL4;0.00
294;CEEE-GT_ON;EEEL3;0.00
295;Concessionaria_Rio_Teres..._PNA;CRTE5B;0.00
296;Concessionaria_Rio_Teres..._ON;CRTE3B;0.00
297;ODERICH_PN;ODER4;0.00
298;ODERICH_ON;ODER3;0.00
299;ALFA_CONSORCIO_PNF;BRGE12;0.00
300;ALFA_CONSORCIO_PNE;BRGE11;0.00
301;ALFA_CONSORCIO_PNC;BRGE7;0.00
302;ALFA_CONSORCIO_ON;BRGE3;0.00
303;ALFA_CONSORCIO_PNB;BRGE6;0.00
304;ALFA_CONSORCIO_PND;BRGE8;0.00
305;ALFA_CONSORCIO_PNA;BRGE5;0.00
306;CONSTRUTORA_ADOLFO_L_PN;CALI4;0.00
307;CONSTRUTORA_ADOLFO_L_ON;CALI3;0.00
308;TENDA_ON;TEND3;0.00
309;COR_RIBEIRO_ON;CORR3;0.00
310;COR_RIBEIRO_PN;CORR4;0.00
311;COSAN_LOG_ON;RLOG3;0.00
312;COSAN_ON;CSAN3;0.00
313;CPFL_ENERGIA_ON;CPFE3;0.00
314;CPFL_RENOVÁVEL_ON;CPRE3L;0.00
315;CPFL_RENOVÁVEL_ON;CPRE3;0.00
316;CR2_ON;CRDE3;0.00
317;CSU_CARDSYSTEM_ON;CARD3;0.00
318;CTC_Centro_De_Tecnologia..._ON;CTCA3;0.00
319;Curimare_PNB;CRMR6L;0.00
320;Curimare_PNA;CRMR5L;0.00
321;Cury_Construtora_E_Incor..._ON;CURY3;0.00
322;CVC_BRASIL_ON;CVCB9;0.00
323;CVC_BRASIL_ON;CVCB3;0.00
324;CVC_BRASIL_ON;CVCB11;0.00
325;CVC_BRASIL_ON;CVCB1;0.00
326;CYRELA_REALT_ON;CYRE3;0.00
327;CYRELA_COMMERCIAL_PROP_ON;CCPR3;0.00
328;D1000_Varejo_Farma_Parti..._ON;DMVF3;0.00
329;DASA_ON;DASA1;0.00
330;DASA_ON;DASA3;0.00
331;DIMED_PN;PNVL4;0.00
332;DIMED_ON;PNVL3;0.00
